PLAYER,GAME_DATE,W_L,MIN,PTS,FGM,FGA,FG_PCT,3PM,3PA,3P_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
Stephen Curry,12/1/16,L,38,28,9,22,40.9,4,13,30.8,6,6,100,1,2,3,5,3,1,5,6,10
Stephen Curry,11/28/16,W,38,25,6,17,35.3,4,11,36.4,9,11,81.8,0,3,3,3,2,0,3,2,6
Stephen Curry,11/26/16,W,37,34,13,19,68.4,4,8,50,4,4,100,1,7,8,6,1,0,6,4,16
Stephen Curry,11/25/16,W,36,24,8,17,47.1,4,10,40,4,4,100,2,3,5,5,3,0,3,1,14
Stephen Curry,11/23/16,W,29,31,11,18,61.1,7,12,58.3,2,2,100,0,5,5,9,1,0,1,1,32
Stephen Curry,11/21/16,W,29,22,6,11,54.5,2,6,33.3,8,8,100,2,4,6,6,1,0,1,1,34
Stephen Curry,11/19/16,W,35,20,7,21,33.3,1,11,9.1,5,5,100,0,5,5,5,1,0,3,4,1
Stephen Curry,11/18/16,W,36,16,7,20,35,2,10,20,0,0,-,0,3,3,8,4,1,2,4,19
Stephen Curry,11/16/16,W,37,35,10,19,52.6,3,9,33.3,12,13,92.3,2,1,3,7,1,0,3,3,5
Stephen Curry,11/13/16,W,37,30,9,17,52.9,5,9,55.6,7,7,100,0,6,6,6,2,0,3,2,22
Stephen Curry,11/10/16,W,30,33,10,17,58.8,7,13,53.8,6,6,100,1,4,5,6,1,0,4,1,27
Stephen Curry,11/9/16,W,31,24,8,12,66.7,4,8,50,4,4,100,0,3,3,6,1,0,5,1,17
Stephen Curry,11/7/16,W,36,46,16,26,61.5,13,17,76.5,1,2,50,3,2,5,5,2,0,4,2,7
Stephen Curry,11/4/16,L,31,13,5,17,29.4,0,10,0,3,3,100,0,8,8,10,2,1,2,3,-5
Stephen Curry,11/3/16,W,30,21,6,14,42.9,2,6,33.3,7,8,87.5,0,1,1,7,2,1,1,1,17
Stephen Curry,11/1/16,W,29,28,10,21,47.6,5,10,50,3,4,75,1,3,4,3,1,0,4,3,24
Stephen Curry,10/30/16,W,34,28,9,17,52.9,5,8,62.5,5,5,100,0,1,1,3,0,0,1,5,2
Stephen Curry,10/28/16,W,34,23,8,19,42.1,4,10,40,3,4,75,1,0,1,8,1,0,4,3,4
Stephen Curry,10/25/16,L,34,26,9,18,50,3,10,30,5,6,83.3,0,3,3,4,0,0,4,1,-9
